item,stock
wf10214,102
uo10215,94
vi10216,108
ti10217,71
lm10218,55
oi10219,21
dc10220,131
gv10221,116
tr10222,136
tw10223,45
he10224,63
pb10225,91
rx10226,76
do10227,60
jr10228,108
ks10229,102
xy10230,139
in10231,175
rj10232,67
ms10233,58
nt10234,109
dm10235,62
tb10236,167
gx10237,37
cx10238,3
jn10239,176
gi10240,185
pc10241,59
pt10242,104
pq10243,17
kt10244,30
uy10245,22
eo10246,114
pn10247,157
is10248,20
kg10249,30
fa10250,1
ph10251,132
ja10252,140
wq10253,29
um10254,61
bp10255,76
yf10256,88
oj10257,74
qg10258,162
xe10259,158
na10260,71
zu10261,154
ou10262,126
eu10263,4
mm10264,93
zp10265,133
ap10266,8
gv10267,158
xa10268,67
cz10269,28
ik10270,108
wf10271,150
qr10272,137
mr10273,67
mq10274,105
ft10275,35
jj10276,109
hy10277,36
re10278,128
ej10279,127
qz10280,172
pz10281,66
zi10282,120
hi10283,57
tv10284,130
bu10285,199
nm10286,168
zw10287,151
ej10288,192
ib10289,18
gz10290,141
gg10291,119
jl10292,141
fq10293,80
ev10294,15
oz10295,119
gr10296,61
wb10297,16
wl10298,134
sk10299,4
nt10300,108
hj10301,101
et10302,148
du10303,61
he10304,75
ov10305,31
ac10306,42
rh10307,74
qn10308,27
uf10309,26
sc10310,33
kv10311,185
qe10312,40
wd10313,169
rq10314,45
jw10315,99
qz10316,38
le10317,102
lg10318,168
oo10319,32
cp10320,121
pt10321,9
nz10322,47
il10323,175
ye10324,7
eu10325,189
ya10326,24
ai10327,15
hx10328,168
qx10329,10
mi10330,118
jp10331,112
gp10332,197
zn10333,192
pw10334,25
ji10335,91
gi10336,12
bf10337,85
sd10338,73
rw10339,107
nq10340,110
np10341,56
oo10342,69
on10343,116
zx10344,37
iu10345,150
dz10346,99
fh10347,59
sn10348,70
xo10349,181
kg10350,1
mo10351,168
qm10352,173
yu10353,39
kj10354,77
pz10355,190
ip10356,67
oy10357,95
ts10358,101
ru10359,114
hk10360,7
iq10361,112
sx10362,35
nj10363,113
uu10364,143
zw10365,70
sl10366,117
do10367,126
dg10368,133
ga10369,179
ul10370,143
km10371,151
np10372,192
gu10373,97
dd10374,60
lr10375,9
se10376,46
xn10377,166
bs10378,95
wx10379,138
oo10380,165
ao10381,35
pf10382,2
jj10383,159
wo10384,169
fz10385,32
gm10386,30
nz10387,199
si10388,159
kk10389,33
xn10390,18
pz10391,108
fv10392,0
rq10393,200
xt10394,26
ge10395,123
ov10396,47
hm10397,45
dz10398,14
nv10399,174
uh10400,0
ev10401,96
ix10402,125
wl10403,35
qh10404,126
th10405,196
np10406,0
dl10407,21
we10408,126
uy10409,67
gg10410,165
bd10411,91
kf10412,101
sl10413,190
ew10414,197
bv10415,179
du10416,112
bs10417,61
fb10418,163
wg10419,192
xa10420,103
nb10421,7
ao10422,183
wt10423,2
kr10424,38
oc10425,33
qw10426,154
aw10427,157
pj10428,30
se10429,86
py10430,164
sq10431,178
ls10432,79
sh10433,164
sq10434,169
mq10435,151
au10436,154
te10437,187
bv10438,79
kx10439,71
tr10440,183
tb10441,168
wn10442,9
hw10443,92
rw10444,65
kj10445,197
ie10446,185
df10447,128
rs10448,73
ks10449,103
ah10450,124
jb10451,60
kk10452,109
eu10453,59
bi10454,27
eb10455,81
hu10456,165
db10457,18
dc10458,165
nt10459,195
pv10460,168
hw10461,118
qw10462,6
nx10463,153
hx10464,12
dp10465,176
bl10466,24
lr10467,198
ao10468,87
lc10469,105
mm10470,22
ie10471,130
no10472,44
zb10473,174
eu10474,76
jm10475,66
ym10476,86
bp10477,131
gn10478,48
it10479,9
ck10480,117
ji10481,94
hc10482,163
fi10483,161
jw10484,163
jp10485,66
hb10486,120
xn10487,132
ff10488,118
hs10489,95
uv10490,192
rv10491,29
mi10492,111
qm10493,115
lw10494,3
ld10495,56
au10496,122
ma10497,73
vs10498,137
up10499,83
ca10500,137
qw10501,57
zs10502,141
wc10503,14
xf10504,59
so10505,37
js10506,102
ua10507,40
aq10508,13
wq10509,57
gs10510,164
ng10511,166
ig10512,194
si10513,38
bt10514,30
uf10515,50
pe10516,56
xd10517,63
xt10518,111
ex10519,10
bt10520,80
ya10521,162
zt10522,24
rd10523,68
le10524,54
os10525,162
mf10526,159
zd10527,43
hu10528,169
ci10529,25
tw10530,181
kt10531,14
sb10532,3
fs10533,80
bo10534,176
cn10535,144
ob10536,139
ww10537,8
sg10538,71
jj10539,79
ji10540,88
kc10541,83
ou10542,129
mi10543,6
ox10544,158
zr10545,116
nn10546,172
qc10547,111
aj10548,177
hi10549,12
ia10550,98
en10551,85
lh10552,149
me10553,198
ol10554,167
sq10555,6
vo10556,66
vm10557,65
sk10558,89
ta10559,165
dc10560,101
fz10561,49
wn10562,16
zf10563,118
ao10564,20
xh10565,34
do10566,115
qe10567,105
qe10568,63
cr10569,48
jj10570,142
sh10571,47
yo10572,91
fy10573,14
av10574,42
xw10575,76
id10576,161
bt10577,180
rb10578,200
yf10579,174
rw10580,137
ix10581,8
xh10582,172
yn10583,93
px10584,175
cg10585,110
fm10586,33
cv10587,180
rt10588,41
lk10589,83
ga10590,143
fv10591,131
cp10592,14
ub10593,147
qm10594,168
ez10595,30
as10596,12
iq10597,7
id10598,187
uo10599,59
nl10600,129
wv10601,6
vp10602,38
lo10603,104
ff10604,171
th10605,56
tr10606,127
ay10607,45
rr10608,184
cr10609,26
cn10610,23
pp10611,106
bi10612,66
an10613,53
yt10614,141
pd10615,141
kb10616,100
dm10617,81
aj10618,119
na10619,96
yn10620,137
wh10621,69
ri10622,159
ot10623,54
wa10624,11
nj10625,23
ib10626,107
ce10627,10
ta10628,189
py10629,155
mv10630,146
oz10631,43
ve10632,161
iw10633,145
wt10634,155
ra10635,42
kw10636,55
ov10637,7
qh10638,200
vt10639,26
pr10640,188
kg10641,45
zr10642,60
lg10643,68
nl10644,169
yv10645,154
id10646,86
bu10647,147
tp10648,192
kg10649,152
lv10650,167
qy10651,11
dp10652,174
zt10653,87
al10654,132
ie10655,58
mr10656,27
qs10657,98
gp10658,155
zi10659,161
el10660,158
jh10661,124
dm10662,35
wq10663,125
vb10664,114
zp10665,137
el10666,21
wl10667,126
tr10668,132
wi10669,187
cy10670,120
tn10671,83
rj10672,86
sg10673,101
wa10674,109
ev10675,126
vo10676,3
iv10677,138
cc10678,104
et10679,72
iv10680,61
rs10681,32
sp10682,46
kj10683,22
uk10684,152
km10685,194
kr10686,60
gw10687,59
cm10688,124
xi10689,82
iq10690,149
ue10691,103
zm10692,88
xf10693,112
py10694,28
ff10695,20
bx10696,168
bx10697,125
it10698,193
ki10699,178
oq10700,125
fd10701,150
ze10702,131
ro10703,163
hl10704,83
jz10705,142
ux10706,46
wh10707,105
hy10708,23
hi10709,7
hb10710,36
fv10711,127
ad10712,24
tn10713,156
uw10714,188
qw10715,197
lt10716,140
bu10717,38
iq10718,192
st10719,140
gc10720,87
wo10721,112
up10722,169
wt10723,140
ip10724,142
sd10725,123
uo10726,125
yy10727,75
hc10728,67
wt10729,184
gs10730,120
jr10731,82
ag10732,122
mi10733,65
oj10734,39
pp10735,156
go10736,160
vf10737,76
cq10738,143
qq10739,102
et10740,11
od10741,129
nn10742,133
zq10743,8
ht10744,107
vz10745,99
eh10746,181
ty10747,60
ue10748,176
ne10749,34
qc10750,34
ze10751,188
am10752,167
so10753,21
vz10754,86
af10755,117
dx10756,95
ik10757,186
bn10758,122
wo10759,128
xz10760,127
pt10761,51
qt10762,95
sw10763,95
rv10764,37
nc10765,144
zi10766,140
iv10767,44
qy10768,44
bx10769,123
ei10770,76
uk10771,173
it10772,78
xw10773,17
eo10774,94
ic10775,110
rp10776,154
wa10777,169
qv10778,61
sr10779,56
eo10780,75
mm10781,130
fu10782,62
xq10783,49
ub10784,40
ww10785,154
sl10786,21
zx10787,116
mk10788,70
li10789,96
uv10790,53
fg10791,188
fh10792,143
gj10793,192
np10794,94
mf10795,91
nb10796,40
gt10797,134
je10798,6
cq10799,49
yz10800,98
uu10801,91
xc10802,172
lm10803,138
fx10804,179
bx10805,173
hi10806,178
mb10807,114
nl10808,103
pv10809,51
ts10810,72
ld10811,73
hw10812,109
qk10813,21
ns10814,108
fm10815,82
lv10816,174
og10817,145
ig10818,199
cj10819,21
tr10820,128
bk10821,176
am10822,152
bt10823,54
vc10824,98
px10825,62
ye10826,198
oy10827,10
fj10828,151
nq10829,40
rr10830,186
dg10831,108
sx10832,167
gl10833,4
zw10834,84
hn10835,106
ku10836,90
qr10837,195
wy10838,185
rx10839,163
js10840,12
ac10841,32
wj10842,33
yc10843,166
np10844,112
ov10845,118
qa10846,20
mq10847,3
cn10848,158
kn10849,131
bb10850,73
bq10851,169
rt10852,152
al10853,62
xq10854,150
gq10855,149
oa10856,182
rm10857,169
mf10858,194
kh10859,188
el10860,40
pq10861,193
wo10862,69
kh10863,146
sh10864,138
ok10865,122
yg10866,176
hf10867,190
ho10868,8
tm10869,42
jx10870,166
lj10871,129
da10872,12
dz10873,15
wf10874,188
mv10875,157
rs10876,83
zi10877,66
fc10878,126
ys10879,49
bb10880,49
ka10881,49
rv10882,111
jm10883,87
yp10884,22
tn10885,144
mq10886,170
av10887,155
qz10888,84
qw10889,162
kr10890,172
ma10891,80
vt10892,181
ha10893,39
ja10894,172
ri10895,199
sm10896,108
pr10897,141
pn10898,118
qf10899,37
or10900,59
xi10901,181
gt10902,123
we10903,73
dc10904,7
ho10905,108
kk10906,97
wz10907,79
da10908,118
xz10909,192
ov10910,89
sz10911,43
zt10912,171
jj10913,134
gw10914,146
qo10915,0
ah10916,3
gc10917,105
ua10918,30
bb10919,150
nf10920,111
qr10921,127
ra10922,34
ax10923,30
di10924,152
hh10925,1
oy10926,147
hj10927,93
mp10928,134
uk10929,43
yn10930,198
mb10931,7
kt10932,57
kk10933,12
oz10934,184
bv10935,127
ps10936,17
kl10937,80
ba10938,2
vm10939,118
xo10940,129
or10941,42
pf10942,182
kx10943,61
gd10944,165
ot10945,53
vo10946,48
ye10947,69
to10948,71
yj10949,98
ag10950,77
uy10951,55
tu10952,84
uq10953,181
bt10954,187
pc10955,154
vk10956,33
ib10957,111
yl10958,105
hf10959,15
dk10960,177
pr10961,41
xg10962,37
zd10963,17
xs10964,188
yh10965,143
xs10966,113
lp10967,120
ta10968,128
dn10969,187
ux10970,159
nt10971,150
qn10972,107
se10973,93
dq10974,11
ci10975,17
ms10976,74
se10977,120
cm10978,21
xh10979,138
ts10980,79
wy10981,58
bt10982,53
iq10983,122
mu10984,43
cj10985,121
px10986,104
vf10987,135
uw10988,134
mt10989,104
vw10990,18
ff10991,92
xl10992,5
ie10993,62
pp10994,176
bd10995,94
vm10996,128
ht10997,60
wo10998,52
gf10999,181
py11000,150
il11001,78
po11002,145
ud11003,151
bu11004,47
js11005,143
mn11006,42
fs11007,160
fk11008,136
gn11009,114
xs11010,196
xs11011,30
ua11012,77
fo11013,68
fp11014,94
mq11015,121
sb11016,52
ax11017,85
we11018,189
pk11019,83
dg11020,53
zv11021,91
px11022,169
bj11023,42
wf11024,85
qj11025,14
lk11026,123
cs11027,5
ag11028,177
ce11029,128
iy11030,153
un11031,92
ue11032,56
yh11033,51
nr11034,93
za11035,11
wg11036,79
wy11037,167
vv11038,143
ij11039,47
sw11040,14
le11041,40
oq11042,38
hv11043,124
fg11044,135
gk11045,64
fw11046,27
rh11047,27
aa11048,117
js11049,107
hx11050,8
td11051,2
oa11052,69
vm11053,9
gq11054,189
qd11055,106
ao11056,44
ol11057,32
ux11058,92
qy11059,132
rm11060,28
mh11061,145
fh11062,58
nh11063,86
ku11064,113
nb11065,128
uk11066,1
fc11067,151
qe11068,58
lq11069,20
jf11070,31
ic11071,40
tv11072,146
qj11073,172
gp11074,1
gv11075,186
cv11076,124
kw11077,177
at11078,27
bs11079,59
hn11080,192
ws11081,152
tw11082,41
mz11083,27
fi11084,104
kz11085,76
qg11086,85
mn11087,151
zr11088,7
xv11089,13
xo11090,87
kr11091,129
xt11092,94
ab11093,85
wj11094,66
nv11095,35
wd11096,143
zq11097,158
gl11098,66
ra11099,38
mt11100,110
rp11101,198
ao11102,44
hf11103,158
vq11104,18
fj11105,173
mg11106,124
uq11107,88
sb11108,145
ro11109,198
gl11110,14
sm11111,100
ci11112,184
eg11113,48
qx11114,64
yw11115,118
fi11116,101
mo11117,160
mm11118,141
mc11119,34
tr11120,107
qi11121,181
zn11122,68
wb11123,169
td11124,19
bm11125,23
ph11126,184
ri11127,144
iq11128,112
pv11129,131
dp11130,121
wh11131,110
xv11132,33
tu11133,105
gl11134,144
ji11135,12
co11136,98
vm11137,191
fh11138,188
eg11139,53
ud11140,156
nn11141,48
ch11142,175
zs11143,140
ll11144,90
rb11145,11
tl11146,92
on11147,1
yt11148,0
zd11149,117
jc11150,75
uc11151,120
sl11152,139
cc11153,43
nc11154,46
qa11155,36
lf11156,140
hl11157,176
hh11158,192
os11159,160
ta11160,145
fp11161,191
zm11162,198
tf11163,66
xx11164,18
lj11165,12
hk11166,189
cl11167,105
vn11168,33
zx11169,87
zi11170,61
de11171,158
dj11172,92
dw11173,13
xp11174,197
fn11175,140
iz11176,129
wq11177,46
ft11178,174
gf11179,106
jc11180,195
sm11181,75
rc11182,87
pg11183,22
ag11184,1
ko11185,118
fk11186,175
vw11187,90
gi11188,188
co11189,96
dy11190,163
jj11191,181
yf11192,109
la11193,157
qq11194,108
td11195,189
pu11196,88
ko11197,90
nx11198,49
js11199,35
as11200,34
qv11201,69
xw11202,117
hn11203,120
jr11204,72
sl11205,155
rz11206,144
ju11207,109
zn11208,72
yu11209,196
lu11210,104
yy11211,41
ra11212,192
ru11213,50
qu11214,18
dh11215,86
om11216,129
gt11217,127
as11218,97
gh11219,102
ry11220,149
lb11221,118
wb11222,187
og11223,116
wy11224,26
na11225,50
ye11226,47
zp11227,92
xe11228,106
ut11229,116
qx11230,192
sb11231,1
ah11232,188
vi11233,17
jj11234,153
ua11235,166
nj11236,83
ij11237,12
ez11238,31
si11239,111
pf11240,186
ph11241,153
xi11242,114
dq11243,32
vd11244,134
ov11245,79
ol11246,172
hv11247,41
hu11248,150
av11249,5
iu11250,147
gq11251,46
aw11252,57
je11253,73
kg11254,59
sf11255,80
go11256,117
lc11257,140
el11258,157
pa11259,94
ol11260,91
nb11261,0
fc11262,60
kk11263,38
dz11264,26
py11265,128
ss11266,26
iy11267,0
yh11268,59
rv11269,170
xf11270,160
dl11271,172
ke11272,184
ep11273,7
lu11274,161
vt11275,168
gm11276,200
da11277,191
lq11278,196
ne11279,113
so11280,92
ul11281,165
hy11282,32
pp11283,198
oc11284,112
es11285,55
mc11286,127
ak11287,75
tt11288,58
yh11289,135
pk11290,90
ck11291,32
nq11292,121
fv11293,62
jw11294,23
cz11295,22
qr11296,26
sf11297,68
kr11298,90
jp11299,47
cv11300,26
bb11301,198
kl11302,176
zb11303,23
xq11304,110
by11305,137
gf11306,43
nd11307,179
zk11308,56
lt11309,172
rr11310,185
pa11311,195
my11312,153
zu11313,40
gw11314,30
jq11315,130
rs11316,18
wt11317,9
mk11318,83
vf11319,34
hu11320,196
qn11321,45
mk11322,160
du11323,24
kp11324,166
it11325,59
ge11326,138
be11327,95
bh11328,76
lv11329,80
dm11330,189
ti11331,158
ne11332,192
cm11333,163
lf11334,6
qh11335,155
df11336,124
ly11337,146
vq11338,62
pz11339,168
om11340,159
om11341,152
ma11342,186
tg11343,151
zg11344,64
ll11345,74
bv11346,15
re11347,197
kl11348,26
ph11349,34
ut11350,199
sp11351,168
zv11352,50
my11353,164
co11354,195
uq11355,43
lx11356,50
rc11357,40
up11358,135
qd11359,48
dm11360,146
ze11361,91
nt11362,123
pg11363,197
bb11364,110
fu11365,10
mp11366,22
wk11367,82
mp11368,137
mj11369,135
az11370,73
nc11371,123
gx11372,34
eq11373,92
wf11374,16
am11375,79
qp11376,143
yb11377,149
at11378,7
hd11379,194
yb11380,28
lv11381,112
oy11382,90
ue11383,42
xm11384,67
bw11385,63
kk11386,146
fv11387,176
ah11388,52
im11389,8
us11390,134
hz11391,13
my11392,183
pt11393,42
vw11394,46
gm11395,32
os11396,99
lq11397,64
mm11398,32
bk11399,121
go11400,98
yh11401,3
da11402,34
jd11403,94
sy11404,42
yi11405,3
lx11406,188
wg11407,27
uz11408,105
km11409,156
cs11410,141
nq11411,65
ip11412,134
sc11413,196
kz11414,105
te11415,113
vx11416,15
xp11417,138
vq11418,25
oo11419,194
te11420,158
dp11421,90
dd11422,123
ak11423,84
ww11424,4
sb11425,185
ho11426,7
jg11427,49
wi11428,155
uq11429,176
fe11430,105
gp11431,87
bl11432,55
ah11433,60
br11434,51
cd11435,43
ew11436,103
mb11437,18
mm11438,172
jp11439,64
dn11440,192
ez11441,23
bb11442,99
gy11443,184
tf11444,88
xs11445,117
uc11446,90
gw11447,3
jc11448,43
qs11449,6
sl11450,69
sg11451,15
zu11452,73
gq11453,177
mf11454,39
di11455,60
ro11456,10
vz11457,127
nx11458,42
vq11459,151
ci11460,66
pu11461,84
yy11462,78
nf11463,125
ki11464,110
qa11465,83
gn11466,105
dg11467,63
jv11468,80
gk11469,127
vn11470,135
iv11471,139
ge11472,9
he11473,95
wa11474,39
jl11475,156
en11476,132
yq11477,57
ap11478,144
tv11479,71
px11480,79
vb11481,176
lb11482,24
bw11483,111
ya11484,65
vt11485,193
ly11486,141
ok11487,11
ob11488,155
gx11489,24
jj11490,111
qu11491,105
so11492,151
mz11493,189
yu11494,171
ie11495,78
my11496,78
ka11497,151
kv11498,50
aw11499,171
bt11500,52
ec11501,119
vw11502,165
qy11503,146
fv11504,191
dg11505,175
vb11506,27
gn11507,84
sg11508,89
dv11509,102
yr11510,22
lw11511,15
yo11512,87
wz11513,182
qy11514,195
me11515,156
wt11516,131
ex11517,24
ux11518,174
pv11519,164
hq11520,30
uf11521,28
qw11522,9
kf11523,109
wu11524,156
fg11525,18
ly11526,55
pl11527,99
rs11528,186
ox11529,124
ph11530,164
xi11531,88
yv11532,96
pl11533,198
ef11534,29
bx11535,55
pn11536,116
gt11537,67
vs11538,96
vw11539,146
ej11540,48
ns11541,74
sv11542,37
aj11543,72
fv11544,168
sp11545,8
au11546,156
pi11547,25
me11548,145
zz11549,103
de11550,127
bs11551,29
cd11552,52
uz11553,106
rc11554,131
rc11555,91
bl11556,73
hi11557,37
aa11558,104
eb11559,107
be11560,190
rn11561,162
wn11562,161
vg11563,88
gn11564,170
oi11565,135
be11566,184
ib11567,127
di11568,56
op11569,57
cf11570,37
ty11571,45
jv11572,122
au11573,23
xs11574,143
fg11575,67
qf11576,35
gf11577,176
xm11578,12
zc11579,152
oj11580,165
mx11581,175
ht11582,156
ee11583,169
tt11584,168
yo11585,172
sz11586,150
zv11587,108
ri11588,180
rr11589,114
ja11590,156
zr11591,177
uw11592,99
dq11593,149
ya11594,69
xa11595,117
ch11596,92
tf11597,107
pu11598,56
vj11599,109
my11600,149
sq11601,198
oh11602,132
zp11603,43
nh11604,17
ng11605,96
gk11606,144
wx11607,110
aw11608,155
nu11609,97
kz11610,83
mq11611,11
bw11612,82
fd11613,81
vb11614,122
uy11615,11
ev11616,116
mr11617,160
pf11618,1
ff11619,57
ob11620,84
bb11621,15
ca11622,48
oj11623,2
ew11624,190
wz11625,78
qj11626,103
kh11627,107
jt11628,90
aa11629,159
lp11630,147
xg11631,200
az11632,107
xz11633,21
nv11634,98
yf11635,84
ma11636,117
sy11637,115
zv11638,3
yk11639,144
ee11640,108
cf11641,22
lb11642,51
il11643,82
nd11644,128
fs11645,132
mf11646,160
nj11647,157
uo11648,135
ed11649,98
jv11650,26
fs11651,149
mj11652,102
wp11653,162
cb11654,135
pj11655,14
lp11656,154
zh11657,41
ep11658,64
vd11659,175
gu11660,192
ad11661,172
ix11662,46
rj11663,45
wi11664,104
cw11665,52
gr11666,192
yx11667,29
xh11668,47
mz11669,102
tp11670,105
hz11671,123
dc11672,115
os11673,66
hr11674,183
jh11675,32
hn11676,200
xx11677,102
oe11678,4
gi11679,128
yq11680,89
re11681,174
ft11682,20
wk11683,177
ve11684,19
eg11685,109
kp11686,130
no11687,124
gq11688,161
za11689,161
hk11690,89
yq11691,158
my11692,180
jf11693,143
an11694,19
sf11695,148
eq11696,100
br11697,155
ik11698,21
nj11699,186
bn11700,5
fj11701,24
ro11702,49
fw11703,100
ds11704,40
gn11705,179
wd11706,65
gy11707,51
wq11708,135
jf11709,194
on11710,47
tz11711,157
dl11712,36
si11713,44
dl11714,162
ue11715,128
tt11716,50
vw11717,84
du11718,11
pv11719,46
nf11720,37
yq11721,146
gz11722,118
ct11723,138
fm11724,53
cl11725,52
pl11726,170
vy11727,179
ir11728,104
tz11729,182
hy11730,167
wj11731,139
wr11732,76
ye11733,195
ta11734,10
cg11735,143
aq11736,128
qe11737,19
jo11738,103
co11739,191
jo11740,170
rg11741,85
di11742,124
zz11743,28
mt11744,19
te11745,12
xy11746,91
oc11747,91
sy11748,3
qq11749,86
ip11750,61
iw11751,98
ge11752,133
my11753,173
gj11754,87
wb11755,79
gt11756,68
ns11757,121
pg11758,118
fk11759,116
qr11760,174
lm11761,29
yv11762,44
vt11763,68
tn11764,99
db11765,153
mq11766,87
kf11767,89
rx11768,119
gq11769,67
zf11770,27
xv11771,78
nb11772,45
by11773,74
ma11774,18
un11775,135
qg11776,200
sd11777,135
vr11778,177
ce11779,31
zo11780,97
wt11781,143
dr11782,17
kq11783,81
fd11784,91
uk11785,18
yc11786,71
en11787,92
kb11788,57
zw11789,172
cn11790,75
wr11791,23
bm11792,199
tt11793,48
db11794,196
wo11795,189
hw11796,12
vb11797,49
jd11798,137
ui11799,116
ex11800,139
ra11801,111
ff11802,176
pd11803,166
wx11804,4
kz11805,109
sh11806,152
xf11807,167
xs11808,183
gs11809,77
rk11810,134
hz11811,61
yf11812,3
be11813,35
av11814,146
oo11815,36
zb11816,119
nt11817,193
pf11818,112
tv11819,103
dh11820,89
qj11821,192
iw11822,158
ii11823,161
ib11824,53
nj11825,192
jx11826,19
tk11827,101
yr11828,194
gc11829,21
vv11830,123
zy11831,136
ty11832,170
if11833,129
kq11834,113
ba11835,136
xg11836,171
el11837,61
yj11838,31
jg11839,32
sf11840,31
ee11841,106
nj11842,123
be11843,79
tc11844,166
zg11845,98
hi11846,113
pi11847,49
gz11848,105
zg11849,88
vv11850,115
po11851,130
il11852,35
fx11853,50
qv11854,75
mj11855,70
lh11856,181
iu11857,33
lh11858,186
mb11859,175
ac11860,68
lt11861,32
bb11862,144
aj11863,69
ig11864,86
bb11865,171
zp11866,189
nw11867,120
gq11868,74
pv11869,155
cj11870,65
qv11871,193
fy11872,39
ny11873,85
vq11874,8
iw11875,179
gs11876,42
be11877,103
le11878,83
ri11879,77
ri11880,59
cp11881,3
ha11882,80
na11883,5
te11884,109
fi11885,179
bw11886,118
is11887,106
vw11888,179
dh11889,61
du11890,119
da11891,37
qc11892,171
oj11893,114
px11894,96
hf11895,173
fh11896,174
im11897,112
ey11898,42
ez11899,66
zk11900,191
jk11901,59
ci11902,85
ds11903,56
ab11904,171
ek11905,22
ao11906,138
eg11907,170
hs11908,200
np11909,129
ug11910,86
if11911,129
ph11912,160
mt11913,195
gl11914,155
ya11915,133
il11916,189
ir11917,28
bg11918,58
dv11919,179
th11920,119
fs11921,160
db11922,39
om11923,35
be11924,145
pg11925,100
fd11926,23
hw11927,124
ko11928,23
gj11929,26
jj11930,92
nl11931,135
vm11932,153
pk11933,174
lv11934,94
fq11935,55
cy11936,8
ue11937,71
ah11938,162
er11939,8
gh11940,40
ff11941,67
zi11942,8
tf11943,130
dp11944,43
jq11945,106
wa11946,181
ad11947,56
ku11948,166
de11949,42
vj11950,131
to11951,169
pu11952,83
om11953,101
kz11954,39
cm11955,108
wx11956,21
fu11957,189
yr11958,199
ig11959,19
tm11960,71
qn11961,44
pi11962,146
pz11963,140
gq11964,91
uk11965,185
xl11966,142
il11967,34
go11968,105
qv11969,168
gs11970,76
sc11971,79
tr11972,97
wf11973,125
iz11974,186
my11975,42
bc11976,80
xx11977,26
ei11978,183
nm11979,93
er11980,3
jo11981,173
sl11982,97
vy11983,49
yy11984,158
zf11985,167
as11986,9
xz11987,102
gw11988,118
tj11989,126
pi11990,146
bs11991,68
jg11992,2
gh11993,51
dw11994,101
hx11995,200
ks11996,30
dj11997,135
ls11998,75
vb11999,153
wh12000,14
vz12001,33
cd12002,185
dd12003,160
ko12004,149
ei12005,3
az12006,9
un12007,164
af12008,108
kc12009,88
qi12010,167
ab12011,43
dn12012,11
ac12013,64
et12014,188
ou12015,71
mh12016,13
gy12017,13
kz12018,148
cp12019,90
nu12020,38
oh12021,91
er12022,83
mk12023,182
kj12024,138
th12025,3
ej12026,149
gs12027,134
hh12028,153
ar12029,119
km12030,24
mq12031,190
ub12032,32
jl12033,191
hl12034,85
rb12035,163
